ReviewID,ProductID,ProductName,CustomerID,CustomerName,Rating,ReviewText,ReviewDate,CategoryName
1243,72,小米 智能洗衣机 Pro,LC746,创亿科技有限公司科技公司,4.5,这款智能洗衣机质量很好，续航时间长。总体来说很满意。,2026-04-04,智能洗衣机
1763,47,亚马逊 智能音箱 Lite,AS832,思优传媒有限公司生物科技,4.8,在看电影时时使用效果很好，特别是快速启动功能。,2026-04-04,智能音箱
348,79,飞利浦 智能插座 Pro,LC746,创亿科技有限公司科技公司,3.5,在多次对比之后选择了这款，这款飞利浦 智能插座 Pro没有特别惊喜。优点是安装方便。同时连接稳定性有点问题。整体体验不错。,2026-04-03,智能插座
635,16,苹果 智能冰箱 Pro,PA744,图龙信息科技有限公司金融科技,1.4,对比了市面上几款同类产品后，这款苹果 智能冰箱 Pro完全不符合预期。主要问题在于续航时间短。这钱花得太冤枉了。,2026-04-03,智能冰箱
1450,31,西门子 智能音箱 Max,WJ836,天开网络有限公司互联网服务,4.5,使用了一个月，续航时间长，没有发现任何问题。,2026-04-02,智能音箱
1323,82,小米 智能手环 Pro,PA744,图龙信息科技有限公司金融科技,2.4,使用一周后出现故障，反应迟钝，售后服务也不好。,2026-04-01,智能手环
1911,52,美的 智能加湿器 Advanced,ZI402,巨奥传媒有限公司科技公司,2.7,这款产品有严重问题，使用说明不清，已经申请退款。,2026-04-01,智能加湿器
1552,29,海尔智慧家庭 智能开关 Ultra,HV669,泰麒麟信息有限公司金融科技,2.4,我发现，这款智能开关不值这个价格。噪音控制简直无法忍受。不推荐任何人购买。,2026-03-31,智能开关
1737,38,小米 智能电饭煲 Max,YK404,数字100科技有限公司人工智能,3.2,这款智能电饭煲一般，功能齐全，但是信号强度有点问题。,2026-03-31,智能电饭煲
1866,84,苹果 智能空气净化器 Pro,KU222,华远软件网络有限公司生物科技,4.7,这款产品的智能场景特别好用，在夜间使用时特别方便。,2026-03-31,智能空气净化器
553,20,谷歌 智能门铃 Lite,UH169,富罳网络有限公司互联网服务,2.8,不推荐这款智能门铃，安装困难，很失望。,2026-03-30,智能门铃
402,75,格力 智能体重秤 Elite,UH169,富罳网络有限公司互联网服务,2.9,电池寿命问题很严重，完全不值这个价格。,2026-03-29,智能体重秤
1855,87,博世 智能灯具 Mini,ZS800,华成育卓网络有限公司物联网,3.0,这款智能灯具一般，兼容性强，但是噪音控制有点问题。,2026-03-29,智能灯具
