supplierId:ID(Supplier),CompanyName,ContactName,ContactTitle,Address,City,Region,PostalCode,Country,Phone,Fax,HomePage,SupplierID,labels:LABEL
1,小米智能家居,刘龙,销售代表,西藏自治区海口市门头沟阜新街Y座 928886,峰县,西藏自治区,350328,中国,14500916014,18000430219,http://www.小米智能家居.com,1,Supplier
2,华为智能生活,牛春梅,市场总监,江苏省杨市东城香港路W座 360796,郑州市,山西省,764372,中国,15226817650,14532192967,http://www.华为智能生活.com,2,Supplier
3,苹果智能家庭,刘亮,CEO,北京市金凤市西峰贵阳街R座 467982,巢湖市,上海市,332729,中国,18666838098,13415435866,http://www.苹果智能家庭.com,3,Supplier
4,亚马逊智能科技,鞠想,销售代表,山东省桂香县海港石家庄路H座 284863,台北县,青海省,145514,中国,14776425553,13848113003,http://www.亚马逊智能科技.com,4,Supplier
5,谷歌智能设备,吴勇,业务经理,安徽省秀兰县吉区张家港街A座 238460,佛山市,上海市,808432,中国,15526103387,18054758901,http://www.谷歌智能设备.com,5,Supplier
6,三星智能家电,李柳,销售经理,澳门特别行政区明县兴山蒋路I座 752323,六安市,河南省,625820,中国,13170687034,13919032529,http://www.三星智能家电.com,6,Supplier
7,飞利浦智能照明,邓杨,CTO,江苏省瑞市闵行姜路O座 411088,涛县,上海市,627823,中国,15396120470,13615806467,http://www.飞利浦智能照明.com,7,Supplier
8,海尔智慧家庭,陈帅,CTO,江西省成市西峰东莞街r座 915503,拉萨县,台湾省,397626,中国,13067064544,14734397260,http://www.海尔智慧家庭.com,8,Supplier
9,美的智能科技,严桂荣,销售经理,河南省玉兰市合川崔街c座 656772,南昌市,湖北省,344231,中国,13087990930,18200326005,http://www.美的智能科技.com,9,Supplier
10,格力智能电器,苏帆,业务经理,湖南省永安县和平辛集路b座 863224,海口县,陕西省,848984,中国,18996576048,15004727261,http://www.格力智能电器.com,10,Supplier
11,博世智能系统,曹平,市场总监,新疆维吾尔自治区涛市合川陈路T座 526300,齐齐哈尔市,内蒙古自治区,860567,中国,14522235851,15939350125,http://www.博世智能系统.com,11,Supplier
12,西门子智能家居,刘凤英,销售经理,广东省淮安县门头沟广州路o座 378507,郑州县,江西省,870099,中国,18526713844,18119253698,http://www.西门子智能家居.com,12,Supplier
13,松下智能电器,江静,销售经理,吉林省海燕市璧山李路j座 814367,邯郸市,贵州省,956276,中国,13774775450,13326351587,http://www.松下智能电器.com,13,Supplier
14,索尼智能科技,黎鑫,CEO,福建省太原市沙湾吴街v座 420519,潮州市,福建省,581279,中国,13682565133,18996534527,http://www.索尼智能科技.com,14,Supplier
15,LG智能家电,王海燕,业务经理,四川省合肥市璧山海口街H座 358438,贵阳市,山西省,640245,中国,13695315069,15293084962,http://www.lg智能家电.com,15,Supplier
