ProductID,ProductName,SupplierID,CategoryID,QuantityPerUnit,UnitPrice,UnitsInStock,UnitsOnOrder,ReorderLevel,Discontinued,CategoryName,SupplierName
8,小米 智能摄像头 Ultra,1,5,1台/件,2525.6,157,95,46,0,智能摄像头,小米智能家居
12,小米 智能门锁 Pro,1,4,1套/箱,5175.31,15,80,34,0,智能门锁,小米智能家居
18,小米 智能门锁 Standard,1,4,1个/件,7876.59,647,17,22,0,智能门锁,小米智能家居
38,小米 智能电饭煲 Max,1,19,2个/包,7590.1,254,73,96,0,智能电饭煲,小米智能家居
48,小米 智能手环 Lite,1,13,1个/件,3277.16,492,96,100,0,智能手环,小米智能家居
72,小米 智能洗衣机 Pro,1,9,5个/套,9007.6,691,169,49,0,智能洗衣机,小米智能家居
82,小米 智能手环 Pro,1,13,1套/箱,419.8,550,99,25,1,智能手环,小米智能家居
24,华为 智能摄像头 Standard,2,5,5个/套,8815.03,671,114,16,0,智能摄像头,华为智能生活
43,华为 智能灯具 Max,2,2,1个/件,8332.42,512,35,23,0,智能灯具,华为智能生活
60,华为 智能扫地机器人 Standard,2,7,1台/件,2770.91,47,153,30,0,智能扫地机器人,华为智能生活
64,华为 智能体重秤 Lite,2,12,1个/盒,9288.47,577,100,17,0,智能体重秤,华为智能生活
65,华为 智能空调 Ultra,2,10,1台/件,2642.63,376,123,77,0,智能空调,华为智能生活
76,华为 智能马桶 Elite,2,15,2个/包,1694.08,277,146,36,0,智能马桶,华为智能生活
78,华为 智能音箱 Lite,2,1,1台/件,3935.28,156,22,21,0,智能音箱,华为智能生活
94,华为 智能马桶 Max,2,15,5个/套,6024.71,316,60,46,0,智能马桶,华为智能生活
13,苹果 智能空气净化器 Lite,3,17,1台/件,673.23,506,195,93,0,智能空气净化器,苹果智能家庭
16,苹果 智能冰箱 Pro,3,8,1台/箱,1579.13,226,160,70,0,智能冰箱,苹果智能家庭
36,苹果 智能电饭煲 Basic,3,19,1台/件,2626.89,15,167,19,0,智能电饭煲,苹果智能家庭
73,苹果 智能音箱 Plus,3,1,3个/套,1517.29,385,26,31,0,智能音箱,苹果智能家庭
84,苹果 智能空气净化器 Pro,3,17,1台/箱,4131.27,971,109,42,0,智能空气净化器,苹果智能家庭
28,亚马逊 智能洗衣机 Standard,4,9,1台/件,7044.48,636,34,52,0,智能洗衣机,亚马逊智能科技
33,亚马逊 智能电视 Standard,4,11,1套/箱,2751.08,269,76,16,0,智能电视,亚马逊智能科技
40,亚马逊 智能门锁 Max,4,4,1套/箱,4465.9,781,184,12,0,智能门锁,亚马逊智能科技
44,亚马逊 智能加湿器 Lite,4,18,3个/套,9493.7,32,107,97,0,智能加湿器,亚马逊智能科技
47,亚马逊 智能音箱 Lite,4,1,1个/盒,6150.4,903,144,79,0,智能音箱,亚马逊智能科技
14,谷歌 智能加湿器 Pro,5,18,2个/包,8756.33,21,31,73,0,智能加湿器,谷歌智能设备
20,谷歌 智能门铃 Lite,5,20,1台/箱,4649.74,203,160,26,0,智能门铃,谷歌智能设备
32,谷歌 智能门铃 Pro,5,20,3个/套,169.58,455,63,76,0,智能门铃,谷歌智能设备
58,谷歌 智能手环 Mini,5,13,1台/件,4299.69,274,130,83,0,智能手环,谷歌智能设备
61,谷歌 智能音箱 Mini,5,1,3个/套,6674.04,890,53,70,0,智能音箱,谷歌智能设备
68,谷歌 智能空气净化器 Mini,5,17,5个/套,3064.13,571,103,58,0,智能空气净化器,谷歌智能设备
100,谷歌 智能马桶 Standard,5,15,3个/套,5143.49,158,98,63,0,智能马桶,谷歌智能设备
49,三星 智能冰箱 Standard,6,8,2个/包,8110.29,605,196,90,0,智能冰箱,三星智能家电
66,三星 智能音箱 Ultra,6,1,1台/件,2763.92,934,33,55,0,智能音箱,三星智能家电
81,三星 智能空调 Advanced,6,10,1台/箱,5918.7,609,2,43,0,智能空调,三星智能家电
4,飞利浦 智能电视 Elite,7,11,5个/套,7920.19,126,109,60,0,智能电视,飞利浦智能照明
11,飞利浦 智能净水器 Lite,7,16,2个/包,7902.4,573,135,80,0,智能净水器,飞利浦智能照明
42,飞利浦 智能冰箱 Elite,7,8,1个/件,7540.65,23,72,74,0,智能冰箱,飞利浦智能照明
50,飞利浦 智能开关 Basic,7,14,1台/箱,9436.34,771,55,22,0,智能开关,飞利浦智能照明
71,飞利浦 智能体重秤 Max,7,12,2个/包,9991.56,587,75,40,0,智能体重秤,飞利浦智能照明
79,飞利浦 智能插座 Pro,7,3,1套/箱,5646.81,278,196,57,0,智能插座,飞利浦智能照明
96,飞利浦 智能马桶 Ultra,7,15,1个/件,6893.42,665,8,24,0,智能马桶,飞利浦智能照明
17,海尔智慧家庭 智能电饭煲 Max,8,19,1台/箱,7346.01,766,122,23,1,智能电饭煲,海尔智慧家庭
19,海尔智慧家庭 智能电饭煲 Standard,8,19,3个/套,6004.69,409,195,28,0,智能电饭煲,海尔智慧家庭
26,海尔智慧家庭 智能灯具 Standard,8,2,1个/盒,2915.26,408,43,56,0,智能灯具,海尔智慧家庭
29,海尔智慧家庭 智能开关 Ultra,8,14,1个/盒,1165.88,371,142,66,0,智能开关,海尔智慧家庭
30,海尔智慧家庭 智能冰箱 Basic,8,8,3个/套,4381.73,165,130,31,0,智能冰箱,海尔智慧家庭
34,海尔智慧家庭 智能空气净化器 Standard,8,17,2个/包,5073.42,52,146,93,0,智能空气净化器,海尔智慧家庭
85,海尔智慧家庭 智能空调 Ultra,8,10,1台/件,623.43,619,156,55,0,智能空调,海尔智慧家庭
97,海尔智慧家庭 智能门铃 Ultra,8,20,1个/盒,7515.2,583,157,96,0,智能门铃,海尔智慧家庭
