SupplierID,CompanyName,ContactName,ContactTitle,Address,City,Region,PostalCode,Country,Phone,Fax,HomePage
1,小米智能家居,陈宇,市场总监,吉林省玉珍市魏都赵街W座 688339,荣县,广西壮族自治区,737178,中国,14766630422,13080041238,http://www.小米智能家居.com
2,华为智能生活,董桂英,市场总监,福建省莉县淄川莫路t座 485855,博县,浙江省,920243,中国,14540897790,13215096175,http://www.华为智能生活.com
3,苹果智能家庭,杨丽华,销售经理,澳门特别行政区洋县长寿宋街C座 798128,沈阳市,四川省,316178,中国,13453362146,18982071781,http://www.苹果智能家庭.com
4,亚马逊智能科技,梁强,销售经理,陕西省六盘水县高坪陈路r座 274998,超市,香港特别行政区,901645,中国,13872781577,15959491266,http://www.亚马逊智能科技.com
5,谷歌智能设备,李小红,CEO,山东省济南县魏都高路Z座 750804,北镇县,广东省,537406,中国,14715114553,18907712555,http://www.谷歌智能设备.com
6,三星智能家电,连志强,CEO,安徽省呼和浩特县普陀李路j座 901315,六盘水县,重庆市,393273,中国,18969396134,13668968225,http://www.三星智能家电.com
7,飞利浦智能照明,杨芳,销售代表,河南省俊市闵行郑街O座 624714,太原县,湖北省,146566,中国,18740043503,13077443544,http://www.飞利浦智能照明.com
8,海尔智慧家庭,林娜,CEO,河北省淑英市沈河阜新路b座 892149,天津县,贵州省,879193,中国,15393154978,13166314868,http://www.海尔智慧家庭.com
9,美的智能科技,薄晨,CTO,福建省丽娟市萧山刘街c座 808162,辽阳县,福建省,318059,中国,13022542796,13914570228,http://www.美的智能科技.com
10,格力智能电器,路海燕,销售经理,云南省秀兰市花溪吴路n座 768713,合肥市,江苏省,333011,中国,15227705540,13767069369,http://www.格力智能电器.com
11,博世智能系统,孙丽丽,业务经理,湖北省帆市房山苗街g座 114152,平市,北京市,133819,中国,15023399306,13755582072,http://www.博世智能系统.com
12,西门子智能家居,孙建国,CTO,四川省桂香县高明李街M座 681500,西宁县,新疆维吾尔自治区,157966,中国,15955138986,13422285605,http://www.西门子智能家居.com
13,松下智能电器,李宁,销售代表,吉林省上海县普陀乌鲁木齐路w座 665367,南昌县,福建省,898080,中国,13340919193,18936308089,http://www.松下智能电器.com
14,索尼智能科技,何娜,市场总监,浙江省佳市南湖海口街c座 248245,太原县,江苏省,544697,中国,15100584254,13797172693,http://www.索尼智能科技.com
15,LG智能家电,漆想,CTO,海南省沈阳市平山许路q座 858407,北镇县,黑龙江省,887425,中国,13396237413,18121392689,http://www.lg智能家电.com
