reviewId:ID(Review),Rating,ReviewText,ReviewDate,ReviewID,labels:LABEL
1243,4.5,这款智能洗衣机质量很好，续航时间长。总体来说很满意。,2026-04-04,1243,Review
1763,4.8,在看电影时时使用效果很好，特别是快速启动功能。,2026-04-04,1763,Review
348,3.5,在多次对比之后选择了这款，这款飞利浦 智能插座 Pro没有特别惊喜。优点是安装方便。同时连接稳定性有点问题。整体体验不错。,2026-04-03,348,Review
635,1.4,对比了市面上几款同类产品后，这款苹果 智能冰箱 Pro完全不符合预期。主要问题在于续航时间短。这钱花得太冤枉了。,2026-04-03,635,Review
1450,4.5,使用了一个月，续航时间长，没有发现任何问题。,2026-04-02,1450,Review
1323,2.4,使用一周后出现故障，反应迟钝，售后服务也不好。,2026-04-01,1323,Review
1911,2.7,这款产品有严重问题，使用说明不清，已经申请退款。,2026-04-01,1911,Review
1552,2.4,我发现，这款智能开关不值这个价格。噪音控制简直无法忍受。不推荐任何人购买。,2026-03-31,1552,Review
1737,3.2,这款智能电饭煲一般，功能齐全，但是信号强度有点问题。,2026-03-31,1737,Review
1866,4.7,这款产品的智能场景特别好用，在夜间使用时特别方便。,2026-03-31,1866,Review
553,2.8,不推荐这款智能门铃，安装困难，很失望。,2026-03-30,553,Review
402,2.9,电池寿命问题很严重，完全不值这个价格。,2026-03-29,402,Review
1855,3.0,这款智能灯具一般，兼容性强，但是噪音控制有点问题。,2026-03-29,1855,Review
1488,1.5,这款产品有严重问题，售后服务差，已经申请退款。,2026-03-28,1488,Review
671,2.4,使用一周后出现故障，兼容性差，售后服务也不好。,2026-03-27,671,Review
1386,5.0,使用了一个月，质量很好，没有发现任何问题。,2026-03-27,1386,Review
1950,4.1,这款智能空调的语音识别功能很实用，音质出色。,2026-03-27,1950,Review
287,4.2,这款产品的一键控制特别好用，在夜间使用时特别方便。,2026-03-26,287,Review
1475,2.6,不推荐这款智能空调，价格偏高，很失望。,2026-03-26,1475,Review
914,3.9,智能门锁的质量还可以，做工精细，不过稳定性差。,2026-03-25,914,Review
926,2.6,不推荐这款智能电饭煲，稳定性差，很失望。,2026-03-25,926,Review
1664,4.8,这是我用过的最好的智能冰箱之一，智能化程度高，性价比很高。,2026-03-25,1664,Review
1722,3.5,在做饭时使用还不错，但在其他情况下表现一般。,2026-03-25,1722,Review
91,2.8,噪音控制问题很严重，完全不值这个价格。,2026-03-24,91,Review
129,4.3,使用了一个月，操作简单，没有发现任何问题。,2026-03-24,129,Review
1038,3.0,个人认为，这款智能电饭煲也没有特别失望。高清画质设计得比较合理。尤其是使用久了会发现一些小问题。便宜没好货，这句话在这里很适用。,2026-03-24,1038,Review
105,3.2,我发现，这款智能电饭煲中规中矩。优点是操作简单。不过噪音控制有点问题。希望厂家能改进这些问题。,2026-03-23,105,Review
204,4.3,在工作时时使用效果很好，特别是快速启动功能。,2026-03-23,204,Review
1683,3.0,在做饭时使用还不错，但在其他情况下表现一般。,2026-03-23,1683,Review
118,2.4,个人认为，这款智能马桶存在明显缺陷。使用不到一周就出现了失灵。已经申请退款了。,2026-03-22,118,Review
1798,4.2,使用了一个月，兼容性强，没有发现任何问题。,2026-03-22,1798,Review
1027,3.2,智能窗帘的质量还可以，安装方便，不过做工一般。,2026-03-21,1027,Review
1474,2.5,这款产品有严重问题，价格偏高，已经申请退款。,2026-03-20,1474,Review
1260,1.6,老实讲，这款谷歌 智能门铃 Pro存在明显缺陷。主要问题在于价格偏高。已经申请退款了。,2026-03-19,1260,Review
1648,4.6,使用后感觉，这款西门子 智能体重秤 Advanced做工精细。此外省电模式设计很贴心。如果非要说缺点的话，配件可以再多一些。整体体验不错。,2026-03-19,1648,Review
6,1.2,电池寿命问题很严重，完全不值这个价格。,2026-03-18,6,Review
772,1.0,使用后感觉，这款小米 智能手环 Pro不推荐购买。主要问题在于稳定性差。唯一值得称赞的可能就是售后服务态度好。,2026-03-18,772,Review
1825,1.6,使用后感觉，这款智能电饭煲存在明显缺陷。电池寿命简直无法忍受。已经申请退款了。,2026-03-18,1825,Review
1852,2.2,在多次对比之后选择了这款，这款智能洗衣机完全不符合预期。在早晨起床时完全不能正常工作。唯一值得称赞的可能就是售后服务态度好。希望厂家能重视这些问题。,2026-03-18,1852,Review
1183,4.9,必须承认，这款美的 智能门锁 Lite设计很人性化。最让我失望的是特别适合家庭聚会。对得起这个价格。,2026-03-17,1183,Review
1590,4.0,不得不说，这款LG 智能电视 Basic非常满意。不过静音设计设计很贴心。推荐给有需要的朋友。,2026-03-16,1590,Review
1846,3.4,总体来说还行，节能环保，就是做工一般。,2026-03-16,1846,Review
1884,4.4,必须承认，这款智能扫地机器人很好用。遗憾的是特别适合家庭聚会。如果非要说缺点的话，说明书不够详细。有点贵了，但质量确实好。,2026-03-16,1884,Review
783,3.9,这款产品优缺点都有，安装方便，但做工一般。,2026-03-15,783,Review
5,2.7,对这款智能空气净化器非常不满意，耗电量大，浪费钱。,2026-03-14,5,Review
738,2.2,对这款智能电饭煲非常不满意，稳定性差，浪费钱。,2026-03-13,738,Review
